song,days_on_chart,avg_rank,best_rank,worst_rank,rank_volatility,avg_popularity,duration_min,days_norm,rank_norm,volatility_norm,best_rank_norm,performance_score
we can't be friends (wait for your love),116,22.974137931034484,1,50,14.171288307484716,92.16379310344827,3.81065,0.21641791044776118,0.7702586206896551,0.5228279018870441,0.99,0.5956195760868002
peekaboo (feat. azchike),4,10.25,9,11,0.9574271077563381,66.0,2.5986166666666666,0.007462686567164179,0.8975,0.9677617523625557,0.91,0.595513115534763
LADY GAGA,150,29.066666666666666,7,50,10.963433221803681,92.17333333333333,3.547966666666666,0.2798507462686567,0.7093333333333334,0.6308420011322255,0.9299999999999999,0.5952986279739191
Seven (feat. Latto) (Explicit Ver.),89,22.49438202247191,1,43,9.93058131996312,96.29213483146067,3.072378277153558,0.166044776119403,0.7750561797752809,0.6656199336918868,0.99,0.5939473279323281
Like Him (feat. Lola Young),29,13.758620689655173,5,22,5.200653615609931,84.17241379310344,4.633566666666667,0.054104477611940295,0.8624137931034482,0.8248848838952324,0.95,0.5932698831399091
heart pt. 6,4,10.75,9,12,1.5,66.5,4.87435,0.007462686567164179,0.8925,0.9494923727723894,0.91,0.5919361775757463
bad idea right?,83,17.843373493975903,1,50,14.33610649571082,90.855421686747,3.0797166666666667,0.15485074626865672,0.821566265060241,0.5172781848128745,0.99,0.5914737724464016
MODERN JAM,3,9.666666666666666,5,15,5.033222956847167,56.0,4.256866666666666,0.005597014925373134,0.9033333333333333,0.8305225674280744,0.95,0.5911778786333547
Rockin' Around The Christmas Tree,61,12.80327868852459,1,50,15.459430425181852,89.65573770491804,2.104433333333333,0.11380597014925373,0.8719672131147541,0.4794539006224895,0.99,0.5909660042046517
Red Wine Supernova,149,27.543624161073826,14,49,9.538317618580638,86.25503355704699,3.212,0.27798507462686567,0.7245637583892617,0.6788281395614528,0.86,0.5907749055117898
Wasted On You,193,34.740932642487046,14,50,11.073393090752006,86.56994818652849,2.9753333333333334,0.36007462686567165,0.6525906735751296,0.6271394597516664,0.86,0.5891468011294471
Fear Of Heights,7,11.571428571428571,5,20,4.859943170351646,68.0,2.5859,0.013059701492537313,0.8842857142857143,0.8363572013363382,0.95,0.5877066156560219
Rich Men North of Richmond,54,15.722222222222221,1,38,12.044597421417834,86.64814814814815,3.1207333333333334,0.10074626865671642,0.8427777777777778,0.5944373088882593,0.99,0.5876771471408989
un x100to,100,19.6,3,50,15.902480589168752,93.32,3.2427166666666665,0.1865671641791045,0.804,0.4645356256053015,0.97,0.5871520700232167
WILDFLOWER,147,27.959183673469386,10,50,12.536455088196254,90.07482993197279,4.357766666666667,0.27425373134328357,0.7204081632653061,0.5778755997664682,0.9,0.5859192230896533
Slow It Down,197,37.36040609137056,19,50,7.2137238704532045,87.13197969543147,2.6971833333333333,0.3675373134328358,0.6263959390862944,0.7571012825521557,0.81,0.5855867666369112
"yes, and?",43,15.581395348837209,1,40,10.830364189759964,91.34883720930233,3.5832333333333337,0.08022388059701492,0.8441860465116279,0.635322668509561,0.99,0.5850757413389811
I Can Do It With a Broken Heart,96,22.28125,3,50,13.13308648133849,87.51041666666667,3.6334,0.1791044776119403,0.7771875,0.5577859757683894,0.97,0.5844807897410179
WHERE SHE GOES,94,21.79787234042553,1,50,14.553261310758725,95.2872340425532,3.861733333333333,0.17537313432835822,0.7820212765957447,0.5099662018467943,0.99,0.5840846640081154
Pink + White,217,39.60829493087557,23,50,6.8413587930202455,89.82027649769586,3.075266666666667,0.4048507462686567,0.6039170506912444,0.7696394669011986,0.77,0.5840326756260852
HYAENA,9,12.444444444444445,2,27,7.316268022549322,78.77777777777777,3.701416666666667,0.016791044776119403,0.8755555555555555,0.7536484413465276,0.98,0.583686154250739
All I Want for Christmas Is You,75,17.266666666666666,2,50,15.160700737328957,91.0,4.018433333333333,0.13992537313432835,0.8273333333333334,0.48951265243308584,0.98,0.5834918125069901
Jingle Bell Rock,54,13.74074074074074,2,48,14.758668939810006,87.18518518518519,2.1828833333333333,0.10074626865671642,0.8625925925925926,0.5030497672082415,0.98,0.5834735781580822
Try That In A Small Town,7,12.142857142857142,6,18,4.980915960897534,77.28571428571429,3.00055,0.013059701492537313,0.8785714285714286,0.8322838355966211,0.94,0.5832992790820501
Never Lose Me,76,17.842105263157894,5,49,13.06910109796278,87.27631578947368,2.09835,0.1417910447761194,0.8215789473684211,0.5599404756960935,0.95,0.5831735448201985
Aye (feat. Travis Scott),3,10.666666666666666,4,18,7.023769168568493,79.33333333333333,3.4639166666666665,0.005597014925373134,0.8933333333333333,0.763497390067439,0.96,0.5829753608972912
La Bebe - Remix,113,23.831858407079647,6,50,13.638117967449103,98.00884955752213,3.905866666666667,0.21082089552238806,0.7616814159292036,0.5407806810759355,0.94,0.5824538771156506
It's the Most Wonderful Time of the Year,42,12.476190476190476,4,47,12.863709769580648,76.64285714285714,2.517777380952381,0.07835820895522388,0.8752380952380953,0.5668563614625659,0.96,0.5824443426139182
All My Life (feat. J. Cole),96,20.760416666666668,3,50,15.466598844754506,82.98958333333333,3.7312999999999996,0.1791044776119403,0.7923958333333333,0.47921252738009845,0.97,0.5819463615688556
A Holly Jolly Christmas,37,13.64864864864865,7,49,9.589392913863552,87.72972972972973,2.2588833333333334,0.06902985074626866,0.8635135135135135,0.6771083449116597,0.9299999999999999,0.5801010119820896
Mamaw's House,2,13.0,13,13,0.0,12.5,3.12115,0.0037313432835820895,0.87,1.0,0.87,0.5798059701492537
MELTDOWN (feat. Drake),86,22.0,1,45,14.110488381092312,92.5813953488372,4.102216666666667,0.16044776119402984,0.78,0.5248751418988399,0.99,0.5796442306077944
"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",1,13.0,13,13,0.0,71.0,3.77355,0.0018656716417910447,0.87,1.0,0.87,0.5791529850746269
DELRESTO (ECHOES),3,12.0,8,17,4.58257569495584,55.666666666666664,4.56895,0.005597014925373134,0.88,0.8456966500379081,0.92,0.5785286202276715
Houdini,75,20.266666666666666,4,50,12.470866951520355,85.90666666666667,3.6669760000000005,0.13992537313432835,0.7973333333333333,0.5800840672049881,0.96,0.5780489539841803
gloria (with sza),3,13.333333333333334,12,15,1.5275252316519465,78.0,4.792033333333333,0.005597014925373134,0.8666666666666667,0.948565550012636,0.88,0.5761488435584776
Slime You Out (feat. SZA),42,16.571428571428573,1,39,12.36664052640844,82.47619047619048,5.174833333333333,0.07835820895522388,0.8342857142857143,0.583593553489534,0.99,0.5757847284832818
TELEKINESIS,3,13.666666666666666,12,15,1.5275252316519465,54.333333333333336,5.8959,0.005597014925373134,0.8633333333333333,0.948565550012636,0.88,0.5749821768918109
NIGHTS LIKE THIS,147,31.591836734693878,20,49,6.092612978408257,87.60544217687075,1.4497166666666668,0.27425373134328357,0.6840816326530612,0.7948510498963025,0.8,0.574902482388351
HISS,17,11.352941176470589,1,50,13.29445926161811,84.41176470588235,3.213633333333333,0.03171641791044776,0.8864705882352941,0.5523522716143587,0.99,0.5746006793124455
Boy's a Liar Pt. 2,100,24.87,9,49,10.609367882616137,94.21,2.18355,0.1865671641791045,0.7513,0.642764001242827,0.91,0.5745299075869693
"gnx (feat. hitta j3, youngthreat, peysoh)",4,14.0,11,16,2.1602468994692865,65.25,3.22565,0.007462686567164179,0.86,0.9272607032546692,0.89,0.5743380106239744
THANK GOD,9,14.333333333333334,4,28,6.946221994724902,78.44444444444444,3.0814666666666666,0.016791044776119403,0.8566666666666667,0.7661085392334702,0.96,0.5743210529283221
Surround Sound (feat. 21 Savage & Baby Tate),110,25.554545454545455,9,49,11.929138147722837,92.18181818181819,3.8323,0.20522388059701493,0.7444545454545455,0.5983250248587644,0.91,0.5742199516039226
It's Beginning to Look a Lot like Christmas,37,15.378378378378379,9,42,8.3810346462559,83.24324324324324,3.453316666666667,0.06902985074626866,0.8462162162162162,0.7177958842034788,0.91,0.5741157118572177
"I Love You, I'm Sorry",104,25.423076923076923,9,50,11.036296962061233,88.8173076923077,2.6191,0.19402985074626866,0.7457692307692307,0.6283885513780004,0.91,0.5737685336682249
We Good,1,14.0,14,14,0.0,67.0,2.0833333333333335,0.0018656716417910447,0.86,1.0,0.86,0.5736529850746268
Died and Came Back,1,14.0,14,14,0.0,73.0,3.0106,0.0018656716417910447,0.86,1.0,0.86,0.5736529850746268
"Darling, I (feat. Teezo Touchdown)",26,14.923076923076923,2,48,11.099272325420534,85.88461538461539,4.230566666666666,0.048507462686567165,0.8507692307692307,0.6262680605932838,0.98,0.5733736487688575
